label,id,confusable_char,confusable_unicode
ā̀,\u0101\u0300,"ā̀,a︥̀,a̅̀,a︤̀","\u0061\u0304\u0300,\u0061\ufe25\u0300,\u0061\u0305\u0300,\u0061\ufe24\u0300"
a̱,\u0061\u0331,"a̲,a_,a̠","\u0061\u0332,\u0061\u005f,\u0061\u0320"
a:,\u0061\u003a,"a：,a꞉,a˸","\u0061\uff1a,\u0061\ua789,\u0061\u02f8"
a:w̓,\u0061\u003a\u0077\u0313,"a：w̓,a꞉w̓,a˸w̓,a:wˈ,a:w̕,a:w̒,a:w̔,a:wʼ,a:w’,a:w՚","\u0061\uff1a\u0077\u0313,\u0061\ua789\u0077\u0313,\u0061\u02f8\u0077\u0313,\u0061\u003a\u0077\u02c8,\u0061\u003a\u0077\u0315,\u0061\u003a\u0077\u0312,\u0061\u003a\u0077\u0314,\u0061\u003a\u0077\u02bc,\u0061\u003a\u0077\u2019,\u0061\u003a\u0077\u055a"
a·,\u0061\u00b7,"aᐧ,a⸱,a・,a･","\u0061\u1427,\u0061\u2e31,\u0061\u30fb,\u0061\uff65"
a',\u0061\u0027,"a＇,a’,a̓,a̕,a̒,a̔,aʼ,aˈ,a՚","\u0061\uff07,\u0061\u2019,\u0061\u0313,\u0061\u0315,\u0061\u0312,\u0061\u0314,\u0061\u02bc,\u0061\u02c8,\u0061\u055a"
a’,\u0061\u2019,"a̓,a̕,a̒,a̔,aʼ,aˈ,a՚,a＇,a'","\u0061\u0313,\u0061\u0315,\u0061\u0312,\u0061\u0314,\u0061\u02bc,\u0061\u02c8,\u0061\u055a,\u0061\uff07,\u0061\u0027"
aˈa,\u0061\u02c8\u0061,"a̕a,aʼa,a՚a,a＇a,a'a","\u0061\u0315\u0061,\u0061\u02bc\u0061,\u0061\u055a\u0061,\u0061\uff07\u0061,\u0061\u0027\u0061"
a̱ˈa̱,\u0061\u0331\u02c8\u0061\u0331,"a̱'a̱,a̲ˈa̲,a̠ˈa̠,a_ˈa_,a̱ʼa̱,a̱՚a̱,a̱＇a̱,a̲՚a̲","\u0061\u0331\u0027\u0061\u0331,\u0061\u0332\u02c8\u0061\u0332,\u0061\u0320\u02c8\u0061\u0320,\u0061\u005f\u02c8\u0061\u005f,\u0061\u0331\u02bc\u0061\u0331,\u0061\u0331\u055a\u0061\u0331,\u0061\u0331\uff07\u0061\u0331,\u0061\u0332\u055a\u0061\u0332"
aa,\u0061\u0061,,
áa,\u00e1\u0061,áa,\u0061\u0301\u0061
ąą,\u0105\u0105,ąą,\u0061\u0328\u0061\u0328
āa,\u0101\u0061,"āa,a̅a","\u0061\u0304\u0061,\u0061\u0305\u0061"
a̱a̱,\u0061\u0331\u0061\u0331,"a̲a̲,a̠a̠,a_a_","\u0061\u0332\u0061\u0332,\u0061\u0320\u0061\u0320,\u0061\u005f\u0061\u005f"
aaw,\u0061\u0061\u0077,,
aay,\u0061\u0061\u0079,,
ae,\u0061\u0065,,
æ,\u00e6,ae,\u0061\u0065
ah,\u0061\u0068,,
ai,\u0061\u0069,,
ai’,\u0061\u0069\u2019,"ai̕,aiʼ,aiˈ,ai՚,ai＇,ai'","\u0061\u0069\u0315,\u0061\u0069\u02bc,\u0061\u0069\u02c8,\u0061\u0069\u055a,\u0061\u0069\uff07,\u0061\u0069\u0027"
aih,\u0061\u0069\u0068,,
aii,\u0061\u0069\u0069,,
aiʼ,\u0061\u0069\u02bc,"aiˈ,ai̕,ai’,ai՚","\u0061\u0069\u02c8,\u0061\u0069\u0315,\u0061\u0069\u2019,\u0061\u0069\u055a"
an,\u0061\u006e,,
ang,\u0061\u006e\u0067,,
ao,\u0061\u006f,,
aó,\u0061\u00f3,aó,\u0061\u006f\u0301
áo,\u00e1\u006f,áo,\u0061\u0301\u006f
aw,\u0061\u0077,,
aw̓,\u0061\u0077\u0313,"awˈ,aw̕,aw̒,aw̔,awʼ,aw’,aw՚","\u0061\u0077\u02c8,\u0061\u0077\u0315,\u0061\u0077\u0312,\u0061\u0077\u0314,\u0061\u0077\u02bc,\u0061\u0077\u2019,\u0061\u0077\u055a"
áw,\u00e1\u0077,áw,\u0061\u0301\u0077
ąw,\u0105\u0077,ąw,\u0061\u0328\u0077
ą̈w,\u0105\u0308\u0077,ą̈w,\u0061\u0328\u0308\u0077
ay,\u0061\u0079,,
áy,\u00e1\u0079,áy,\u0061\u0301\u0079
äy,\u00e4\u0079,äy,\u0061\u0308\u0079
ąy,\u0105\u0079,ąy,\u0061\u0328\u0079
ą̈y,\u0105\u0308\u0079,ą̈y,\u0061\u0328\u0308\u0079
Ⱥ,\u023a,"A̸,A̷","\u0041\u0338,\u0041\u0337"
b,\u0062,,
B,\u0042,,
b̓,\u0062\u0313,"bˈ,b̕,b̒,b̔,bʼ,b’,b՚","\u0062\u02c8,\u0062\u0315,\u0062\u0312,\u0062\u0314,\u0062\u02bc,\u0062\u2019,\u0062\u055a"
c,\u0063,,
C,\u0043,,
c̓,\u0063\u0313,"c̔,c̕,cˈ,c’,c՚,cʼ,c̒","\u0063\u0314,\u0063\u0315,\u0063\u02c8,\u0063\u2019,\u0063\u055a,\u0063\u02bc,\u0063\u0312"
Ć,\u0106,Ć,\u0043\u0301
ĉ,\u0109,ĉ,\u0063\u0302
č,\u010d,č,\u0063\u030c
č,\u0063\u030c,,
č̓,\u010d\u0313,"č̍,č̒,č̍,č̔,č̕,č̒,č̔,č̓,č’,č̕,č՚,čʼ,č՚,č’,čʼ,čˈ,čˈ","\u010d\u030d,\u010d\u0312,\u0063\u030c\u030d,\u010d\u0314,\u010d\u0315,\u0063\u030c\u0312,\u0063\u030c\u0314,\u0063\u030c\u0313,\u010d\u2019,\u0063\u030c\u0315,\u010d\u055a,\u010d\u02bc,\u0063\u030c\u055a,\u0063\u030c\u2019,\u0063\u030c\u02bc,\u010d\u02c8,\u0063\u030c\u02c8"
č̓,\u0063\u030c\u0313,,
c̕,\u0063\u0315,"c̓,c̍,c̔,c̒,cʼ,c’,c՚","\u0063\u0313,\u0063\u030d,\u0063\u0314,\u0063\u0312,\u0063\u02bc,\u0063\u2019,\u0063\u055a"
c̣,\u0063\u0323,,
c’,\u0063\u2019,"c̓,c̕,c̒,c̔,cʼ,cˈ,c՚,c＇,c'","\u0063\u0313,\u0063\u0315,\u0063\u0312,\u0063\u0314,\u0063\u02bc,\u0063\u02c8,\u0063\u055a,\u0063\uff07,\u0063\u0027"
č’,\u010d\u2019,"čʼ,č՚,č',č̕,čʼ,č՚,č',č̕","\u010d\u02bc,\u010d\u055a,\u010d\u0027,\u010d\u0315,\u0063\u030c\u02bc,\u0063\u030c\u055a,\u0063\u030c\u0027,\u0063\u030c\u0315"
ch,\u0063\u0068,,
ch̕,\u0063\u0068\u0315,"chˈ,ch̓,ch̒,ch̔,chʼ,ch’,ch՚","\u0063\u0068\u02c8,\u0063\u0068\u0313,\u0063\u0068\u0312,\u0063\u0068\u0314,\u0063\u0068\u02bc,\u0063\u0068\u2019,\u0063\u0068\u055a"
ch',\u0063\u0068\u0027,"ch＇,ch՚,ch’,chʼ","\u0063\u0068\uff07,\u0063\u0068\u055a,\u0063\u0068\u2019,\u0063\u0068\u02bc"
ch’,\u0063\u0068\u2019,"ch＇,ch̕,chˈ,ch',ch՚,chʼ,ch̒,ch̔,ch̓","\u0063\u0068\uff07,\u0063\u0068\u0315,\u0063\u0068\u02c8,\u0063\u0068\u0027,\u0063\u0068\u055a,\u0063\u0068\u02bc,\u0063\u0068\u0312,\u0063\u0068\u0314,\u0063\u0068\u0313"
chˈ,\u0063\u0068\u02c8,"ch̓,ch̕,ch̒,ch̔,chʼ,ch’,ch՚","\u0063\u0068\u0313,\u0063\u0068\u0315,\u0063\u0068\u0312,\u0063\u0068\u0314,\u0063\u0068\u02bc,\u0063\u0068\u2019,\u0063\u0068\u055a"
chʼ,\u0063\u0068\u02bc,"ch̕,chˈ,ch՚,ch’,ch̒,ch̔,ch̓","\u0063\u0068\u0315,\u0063\u0068\u02c8,\u0063\u0068\u055a,\u0063\u0068\u2019,\u0063\u0068\u0312,\u0063\u0068\u0314,\u0063\u0068\u0313"
cw,\u0063\u0077,,
cʼ,\u0063\u02bc,"c̓,c̔,c̕,cˈ,c’,c՚,c̒","\u0063\u0313,\u0063\u0314,\u0063\u0315,\u0063\u02c8,\u0063\u2019,\u0063\u055a,\u0063\u0312"
čʼ,\u010d\u02bc,"č̕,čˈ,č’,č՚,č̕,čˈ,č’,č՚","\u0063\u030c\u0315,\u0063\u030c\u02c8,\u0063\u030c\u2019,\u0063\u030c\u055a,\u010d\u0315,\u010d\u02c8,\u010d\u2019,\u010d\u055a"
Ȼ,\u023b,"C̸,C̷","\u0043\u0338,\u0043\u0337"
d,\u0064,,
D,\u0044,,
d̓,\u0064\u0313,"dˈ,d̕,d̒,d̔,dʼ,d’,d՚","\u0064\u02c8,\u0064\u0315,\u0064\u0312,\u0064\u0314,\u0064\u02bc,\u0064\u2019,\u0064\u055a"
ddh,\u0064\u0064\u0068,,
dh,\u0064\u0068,,
dj,\u0064\u006a,,
dl,\u0064\u006c,,
dł,\u0064\u0142,"dl̸,dl̷","\u0064\u006c\u0338,\u0064\u006c\u0337"
dr,\u0064\u0072,,
dz,\u0064\u007a,,
ʣ,\u02a3,dz,\u0064\u007a
dᶻ,\u0064\u1dbb,,
dẑ,\u0064\u1e91,dẑ,\u0064\u007a\u0302
dẕ,\u0064\u1e95,"dz̲,dz̠,dz_,dẕ","\u0064\u007a\u0332,\u0064\u007a\u0320,\u0064\u007a\u005f,\u0064\u007a\u0331"
d̲z̲,\u0064\u0332\u007a\u0332,"ḏẕ,d̠ẕ,ḏẕ,d̲z_,d̠z̠,d_ẕ,d̲ẕ,d̲z̠,ḏẕ,d_z_","\u1e0f\u1e95,\u0064\u0320\u1e95,\u0064\u0331\u1e95,\u0064\u0332\u007a\u005f,\u0064\u0320\u007a\u0320,\u0064\u005f\u1e95,\u0064\u0332\u007a\u0331,\u0064\u0332\u007a\u0320,\u0064\u0331\u007a\u0331,\u0064\u005f\u007a\u005f"
ḏẕ,\u1e0f\u1e95,"d̲z̠,d̲z_,d̲ẕ,d̠z̠,d_z_,ḏẕ,d̠ẕ,d_ẕ,ḏẕ","\u0064\u0332\u007a\u0320,\u0064\u0332\u007a\u005f,\u0064\u0332\u007a\u0331,\u0064\u0320\u007a\u0320,\u0064\u005f\u007a\u005f,\u0064\u0331\u007a\u0331,\u0064\u0320\u1e95,\u0064\u005f\u1e95,\u0064\u0331\u1e95"
dzh,\u0064\u007a\u0068,,
e,\u0065,,
E,\u0045,,
é,\u00e9,é,\u0065\u0301
É,\u00c9,É,\u0045\u0301
é,\u0065\u0301,,
è,\u00e8,è,\u0065\u0300
ê,\u00ea,ê,\u0065\u0302
ě,\u011b,ě,\u0065\u030c
ë,\u00eb,ë,\u0065\u0308
ë̀,\u00eb\u0300,ë̀,\u0065\u0308\u0300
ë̂,\u00eb\u0302,ë̂,\u0065\u0308\u0302
ë̌,\u00eb\u030c,ë̌,\u0065\u0308\u030c
ę,\u0119,ę,\u0065\u0328
Ę,\u0118,Ę,\u0045\u0328
ę́,\u0119\u0301,ę́,\u0065\u0328\u0301
Ę́,\u0118\u0301,Ę́,\u0045\u0328\u0301
ę̀,\u0119\u0300,ę̀,\u0065\u0328\u0300
ę̂,\u0119\u0302,ę̂,\u0065\u0328\u0302
ę̌,\u0119\u030c,ę̌,\u0065\u0328\u030c
ę̈,\u0119\u0308,ę̈,\u0065\u0328\u0308
ę̈̀,\u0119\u0308\u0300,ę̈̀,\u0065\u0328\u0308\u0300
ę̈̂,\u0119\u0308\u0302,ę̈̂,\u0065\u0328\u0308\u0302
ę̈̌,\u0119\u0308\u030c,ę̈̌,\u0065\u0328\u0308\u030c
ę̄,\u0119\u0304,ę̄,\u0065\u0328\u0304
ę̄́,\u0119\u0304\u0301,ę̄́,\u0065\u0328\u0304\u0301
ę̄̀,\u0119\u0304\u0300,ę̄̀,\u0065\u0328\u0304\u0300
ē,\u0113,"ē,e̅,e︤,e︥,e¯,e‾","\u0065\u0304,\u0065\u0305,\u0065\ufe24,\u0065\ufe25,\u0065\u00af,\u0065\u203e"
ḗ,\u1e17,"é̄,é̅,é︤,é︥,é¯,é‾,ḗ,e̅́,e︤́,e︥́,e¯́,e‾́","\u0065\u0301\u0304,\u0065\u0301\u0305,\u0065\u0301\ufe24,\u0065\u0301\ufe25,\u0065\u0301\u00af,\u0065\u0301\u203e,\u0065\u0304\u0301,\u0065\u0305\u0301,\u0065\ufe24\u0301,\u0065\ufe25\u0301,\u0065\u00af\u0301,\u0065\u203e\u0301"
ḕ,\u1e15,"è̄,è̅,è︤,è︥,è¯,è‾,ḕ,e̅̀,e︤̀,e︥̀,e¯̀,e‾̀","\u0065\u0300\u0304,\u0065\u0300\u0305,\u0065\u0300\ufe24,\u0065\u0300\ufe25,\u0065\u0300\u00af,\u0065\u0300\u203e,\u0065\u0304\u0300,\u0065\u0305\u0300,\u0065\ufe24\u0300,\u0065\ufe25\u0300,\u0065\u00af\u0300,\u0065\u203e\u0300"
e̱,\u0065\u0331,"e̲,e̠,e_","\u0065\u0332,\u0065\u0320,\u0065\u005f"
e:,\u0065\u003a,"e：,e꞉,e˸","\u0065\uff1a,\u0065\ua789,\u0065\u02f8"
é:y,\u00e9\u003a\u0079,é:y,\u0065\u0301\u003a\u0079
e',\u0065\u0027,"e＇,e’,e̓,e̕,e̒,e̔,eʼ,eˈ,e՚","\u0065\uff07,\u0065\u2019,\u0065\u0313,\u0065\u0315,\u0065\u0312,\u0065\u0314,\u0065\u02bc,\u0065\u02c8,\u0065\u055a"
e’,\u0065\u2019,"e＇,e',e̓,e̕,e̒,e̔,eʼ,eˈ,e՚","\u0065\uff07,\u0065\u0027,\u0065\u0313,\u0065\u0315,\u0065\u0312,\u0065\u0314,\u0065\u02bc,\u0065\u02c8,\u0065\u055a"
eˈe,\u0065\u02c8\u0065,"e̕e,eʼe,e’e,e՚e","\u0065\u0315\u0065,\u0065\u02bc\u0065,\u0065\u2019\u0065,\u0065\u055a\u0065"
ea,\u0065\u0061,,
ęą,\u0119\u0105,ęą,\u0065\u0328\u0061\u0328
ee,\u0065\u0065,,
ée,\u00e9\u0065,ée,\u0065\u0301\u0065
ēe,\u0113\u0065,"ēe,e̅e","\u0065\u0304\u0065,\u0065\u0305\u0065"
eii,\u0065\u0069\u0069,,
ew,\u0065\u0077,,
ew̓,\u0065\u0077\u0313,"ewˈ,ew̕,ew̒,ew̔,ewʼ,ew’,ew՚","\u0065\u0077\u02c8,\u0065\u0077\u0315,\u0065\u0077\u0312,\u0065\u0077\u0314,\u0065\u0077\u02bc,\u0065\u0077\u2019,\u0065\u0077\u055a"
ey,\u0065\u0079,,
ey̓,\u0065\u0079\u0313,"ey̕,eyˈ,ey̒,ey̔,eyʼ,ey’,ey՚","\u0065\u0079\u0315,\u0065\u0079\u02c8,\u0065\u0079\u0312,\u0065\u0079\u0314,\u0065\u0079\u02bc,\u0065\u0079\u2019,\u0065\u0079\u055a"
ǝ,\u01dd,,
ǝ́,\u01dd\u0301,,
ə,\u0259,ǝ,\u01dd
ə́,\u0259\u0301,ǝ́,\u01dd\u0301
ə̣,\u0259\u0323,ǝ̣,\u01dd\u0323
əl,\u0259\u006c,ǝl,\u01dd\u006c
əm,\u0259\u006d,ǝm,\u01dd\u006d
ən,\u0259\u006e,ǝn,\u01dd\u006e
əw,\u0259\u0077,ǝw,\u01dd\u0077
əw̓,\u0259\u0077\u0313,"əwˈ,əw̕,əw̒,əw̔,əwʼ,əw’,əw՚,ǝw̓,ǝwˈ,ǝw̕,ǝw̒,ǝw̔,ǝwʼ,ǝw’,ǝw՚","\u0259\u0077\u02c8,\u0259\u0077\u0315,\u0259\u0077\u0312,\u0259\u0077\u0314,\u0259\u0077\u02bc,\u0259\u0077\u2019,\u0259\u0077\u055a,\u01dd\u0077\u0313,\u01dd\u0077\u02c8,\u01dd\u0077\u0315,\u01dd\u0077\u0312,\u01dd\u0077\u0314,\u01dd\u0077\u02bc,\u01dd\u0077\u2019,\u01dd\u0077\u055a"
əy,\u0259\u0079,ǝy,\u01dd\u0079
əy̓,\u0259\u0079\u0313,"əyˈ,əy̕,əy̒,əy̔,əyʼ,əy’,əy՚,ǝy̓,ǝyˈ,ǝy̕,ǝy̒,ǝy̔,ǝyʼ,ǝy’,ǝy՚","\u0259\u0079\u02c8,\u0259\u0079\u0315,\u0259\u0079\u0312,\u0259\u0079\u0314,\u0259\u0079\u02bc,\u0259\u0079\u2019,\u0259\u0079\u055a,\u01dd\u0079\u0313,\u01dd\u0079\u02c8,\u01dd\u0079\u0315,\u01dd\u0079\u0312,\u01dd\u0079\u0314,\u01dd\u0079\u02bc,\u01dd\u0079\u2019,\u01dd\u0079\u055a"
ɛ,\u025b,,
ɛ̄ɛ,\u025b\u0304\u025b,"ɛ̅ɛ,ɛ︤ɛ,ɛ︥ɛ,ɛ¯ɛ,ɛ‾ɛ","\u025b\u0305\u025b,\u025b\ufe24\u025b,\u025b\ufe25\u025b,\u025b\u00af\u025b,\u025b\u203e\u025b"
f,\u0066,,
g,\u0067,,
g̓,\u0067\u0313,"gˈ,g’,g՚,gʼ,g̒,g̔,g̕","\u0067\u02c8,\u0067\u2019,\u0067\u055a,\u0067\u02bc,\u0067\u0312,\u0067\u0314,\u0067\u0315"
ĝ,\u011d,ĝ,\u0067\u0302
ǧ,\u01e7,"ǧ,ğ","\u0067\u030c,\u011f"
ḡ,\u1e21,"ḡ,g̅,g︤,g︥,g¯,g‾","\u0067\u0304,\u0067\u0305,\u0067\ufe24,\u0067\ufe25,\u0067\u00af,\u0067\u203e"
g̱,\u0067\u0331,"g_,g̠,g̲","\u0067\u005f,\u0067\u0320,\u0067\u0332"
g°,\u0067\u00b0,,
